Processed 749, Round: 0, Time: 812.31s
Processed 378, Round: 0, Time: 815.39s
Processed 84, Round: 0, Time: 815.90s
Processed 365, Round: 72, Time: 11.16s
Processed 702, Round: 6, Time: 116.85s
Processed 930, Round: 10, Time: 74.47s
Processed 630, Round: 38, Time: 21.16s
Processed 536, Round: 1, Time: 412.72s
Processed 365, Round: 73, Time: 11.19s
Processed 361, Round: 8, Time: 92.20s
Processed 815, Round: 36, Time: 22.47s
Processed 90, Round: 32, Time: 25.29s
Processed 154, Round: 19, Time: 41.76s
Processed 365, Round: 74, Time: 11.17s
Processed 338, Round: 23, Time: 35.03s
Processed 788, Round: 2, Time: 281.43s
Processed 630, Round: 39, Time: 21.14s
Processed 595, Round: 0, Time: 846.92s
Processed 365, Round: 75, Time: 11.18s
Processed 919, Round: 15, Time: 53.19s
Processed 815, Round: 37, Time: 22.49s
Processed 596, Round: 2, Time: 285.53s
Processed 590, Round: 0, Time: 857.40s
Processed 90, Round: 33, Time: 25.30s
Processed 113, Round: 9, Time: 86.05s
Processed 365, Round: 76, Time: 11.16s
Processed 847, Round: 3, Time: 216.06s
Processed 250, Round: 4, Time: 172.98s
Processed 451, Round: 1, Time: 433.11s
Processed 630, Round: 40, Time: 21.14s
Processed 292, Round: 0, Time: 868.66s
Processed 365, Round: 77, Time: 11.17s
Processed 287, Round: 3, Time: 218.42s
Processed 338, Round: 24, Time: 35.02s
Processed 154, Round: 20, Time: 41.77s
Processed 815, Round: 38, Time: 22.49s
Processed 365, Round: 78, Time: 11.18s
Processed 787, Round: 1, Time: 442.15s
Processed 90, Round: 34, Time: 25.29s
Processed 513, Round: 4, Time: 177.19s
Processed 430, Round: 3, Time: 221.53s
Processed 630, Round: 41, Time: 21.15s
Processed 548, Round: 3, Time: 222.83s
Processed 930, Round: 11, Time: 74.46s
Processed 365, Round: 79, Time: 11.17s
Processed 586, Round: 1, Time: 449.53s
Processed 815, Round: 39, Time: 22.48s
Processed 388, Round: 0, Time: 903.29s
Processed 919, Round: 16, Time: 53.18s
Processed 365, Round: 80, Time: 11.17s
Processed 983, Round: 0, Time: 906.18s
Processed 630, Round: 42, Time: 21.13s
Processed 338, Round: 25, Time: 35.02s
Processed 90, Round: 35, Time: 25.29s
Processed 365, Round: 81, Time: 11.15s
Processed 619, Round: 2, Time: 305.67s
Processed 803, Round: 4, Time: 183.75s
Processed 154, Round: 21, Time: 41.76s
Processed 525, Round: 2, Time: 307.27s
Processed 815, Round: 40, Time: 22.48s
Processed 361, Round: 9, Time: 92.22s
Processed 977, Round: 1, Time: 462.44s
Processed 540, Round: 0, Time: 925.06s
